ax,ay,az,label
-2.338984,-9.7017,0.086142,0
-2.379662,-9.632308,0.072981,0
-2.378466,-9.665807,0.050249,0
-2.371287,-9.702895,0.08016,0
-2.415555,-9.693325,0.065803,0
-2.389233,-9.739985,0.065803,0
-2.379662,-9.696914,0.070588,0
-2.401197,-9.665807,0.07657,0
-2.429911,-9.63829,0.020339,0
-2.386841,-9.652646,0.083749,0
-2.299503,-9.686147,0.161516,0
-2.348555,-9.726824,0.083749,0
-2.338984,-9.678967,0.051446,0
-2.439483,-9.686147,0.041874,0
-2.451447,-9.65145,0.052642,0
-2.405983,-9.661021,0.069392,0
-2.383251,-9.696914,0.068195,0
-2.385644,-9.597611,0.064606,0
-2.386841,-9.631111,0.062213,0
-2.331806,-9.640682,0.102891,0
-2.395216,-9.729217,0.083749,0
-2.423929,-9.779467,0.032303,0
-2.352145,-9.713663,0.011964,0
-2.415555,-9.68495,0.041874,0
-2.463411,-9.629915,0.052642,0
-2.346163,-9.674182,0.047856,0
-2.394019,-9.653843,0.117248,0
-2.365305,-9.669396,0.072981,0
-2.383251,-9.663414,0.078963,0
-2.413162,-9.672985,0.055035,0
-2.402394,-9.707682,0.053839,0
-2.324627,-9.675379,0.028714,0
-2.401197,-9.705289,0.098106,0
-2.456232,-9.734003,0.031107,0
-2.404787,-9.68495,0.02991,0
-2.37368,-9.641879,0.025125,0
-2.445465,-9.700503,0.08016,0
-2.350948,-9.717253,0.04666,0
-2.385644,-9.738788,0.020339,0
-2.400001,-9.652646,0.047856,0
-2.409573,-9.689735,0.043071,0
-2.367698,-9.742377,0.021535,0
-2.39043,-9.622736,0.013161,0
-2.382055,-9.68854,0.088534,0
-2.333002,-9.677772,0.064606,0
-2.368894,-9.649057,0.034696,0
-2.359323,-9.677772,0.020339,0
-2.346163,-9.686147,0.082552,0
-2.402394,-9.652646,0.038285,0
-2.331806,-9.662218,0.009571,0
-2.366502,-9.699306,0.116052,0
-2.392823,-9.719646,0.037089,0
-2.474179,-9.623933,0.083749,0
-2.384448,-9.625129,0.034696,0
-2.45384,-9.690931,0.077767,0
-2.354537,-9.661021,0.056231,0
-2.355734,-9.693325,0.037089,0
-2.395216,-9.690931,0.102891,0
-2.32702,-9.729217,0.111266,0
-2.40718,-9.635897,0.031107,0
-2.414358,-9.751948,0.088534,0
-2.411965,-9.693325,0.052642,0
-2.353341,-9.649057,0.040678,0
-2.433501,-9.68854,0.069392,0
-2.402394,-9.728021,0.066999,0
-2.389233,-9.620344,0.052642,0
-2.355734,-9.700503,0.057428,0
-2.396412,-9.678967,0.120838,0
-2.337788,-9.689735,0.055035,0
-2.348555,-9.65145,0.089731,0
-2.37368,-9.674182,0.077767,0
-2.408376,-9.678967,0.107677,0
-2.287539,-9.676576,0.043071,0
-2.376073,-9.653843,0.055035,0
-2.429911,-9.613165,0.090927,0
-2.344966,-9.658628,0.044267,0
-2.355734,-9.689735,0.056231,0
-2.286342,-9.689735,0.005982,0
-2.383251,-9.724432,0.02991,0
-2.40359,-9.672985,0.057428,0
-2.391626,-9.706486,0.032303,0
-2.354537,-9.641879,0.066999,0
-2.347359,-9.696914,0.074178,0
-2.438286,-9.682557,0.074178,0
-2.408376,-9.661021,0.022732,0
-2.361716,-9.76152,0.08016,0
-2.328217,-9.658628,0.137587,0
-2.405983,-9.640682,0.040678,0
-2.416751,-9.640682,0,0
-2.386841,-9.667004,0.056231,0
-2.415555,-9.695717,0.114855,0
-2.379662,-9.729217,0.074178,0
-2.388037,-9.637094,0.082552,0
-2.350948,-9.693325,0.058624,0
-2.348555,-9.704092,0.088534,0
-2.331806,-9.670592,0.083749,0
-2.370091,-9.674182,0.095713,0
-2.388037,-9.695717,0.061017,0
-2.423929,-9.725628,0.071785,0
-2.346163,-9.71127,0.077767,0
-2.422733,-9.735199,0.04666,0
-2.29711,-9.692128,0.056231,0
-2.367698,-9.702895,0.040678,0
-2.370091,-9.68854,0.065803,0
-2.368894,-9.73161,0.086142,0
-2.377269,-9.762717,0.062213,0
-2.457429,-9.71127,0.07657,0
-2.410769,-9.689735,0.070588,0
-2.337788,-9.732806,0.066999,0
-2.338984,-9.696914,0.066999,0
-2.395216,-9.754342,0.081356,0
-2.383251,-9.712467,0.038285,0
-2.336591,-9.74477,0.041874,0
-2.425126,-9.732806,0.04666,0
-2.404787,-9.650254,-0.003589,0
-2.433501,-9.60479,0.074178,0
-2.370091,-9.687343,0.002393,0
-2.37368,-9.625129,0.056231,0
-2.379662,-9.640682,0.081356,0
-2.323431,-9.663414,0.120838,0
-2.409573,-9.692128,0.056231,0
-2.376073,-9.706486,0.055035,0
-2.34377,-9.627522,0.090927,0
-2.451447,-9.693325,0.096909,0
-2.402394,-9.689735,0.106481,0
-2.459822,-9.589237,0.108873,0
-2.376073,-9.675379,0.040678,0
-2.378466,-9.713663,0.138784,0
-2.402394,-9.713663,0.102891,0
-2.368894,-9.626326,0.049053,0
-2.404787,-9.720841,0.09332,0
-2.445465,-9.632308,0.013161,0
-2.395216,-9.686147,0.01675,0
-2.336591,-9.720841,0.072981,0
-2.432304,-9.694522,0.15673,0
-2.380858,-9.68495,0.077767,0
-2.402394,-9.650254,0.068195,0
-2.411965,-9.692128,0.051446,0
-2.309074,-9.687343,0.132802,0
-2.364109,-9.696914,0.002393,0
-2.404787,-9.620344,-0.013161,0
-2.411965,-9.720841,0.064606,0
-2.457429,-9.672985,0.01675,0
-2.374876,-9.6682,0.02991,0
-2.316252,-9.698111,0.168694,0
-2.391626,-9.690931,0.122034,0
-2.401197,-9.641879,0.07657,0
-2.409573,-9.713663,0.06341,0
