ax,ay,az,label
0.129212,-16.67797,-5.398208,1
-19.00739,7.816155,-0.696311,1
-14.6345,1.690529,0.011964,1
4.271188,-17.4042,-4.791627,1
1.916651,-17.16013,0.557528,1
-9.316455,-9.990034,-2.800799,1
-11.2355,2.679961,6.868597,1
1.768296,-12.65803,0.370888,1
14.89652,-23.40899,-5.655437,1
-10.66242,-8.755338,-0.154337,1
-18.72025,3.671786,-0.963111,1
-4.772485,-9.477971,5.106283,1
1.339981,-19.59961,-1.160519,1
2.306681,-12.66521,-4.126423,1
-4.811966,-8.506484,5.592027,1
-4.383651,-5.922236,5.259424,1
5.276175,-15.51147,-1.434497,1
1.415355,-15.53301,-2.977868,1
-7.160522,-3.952943,2.096112,1
-18.45704,-2.240878,9.645469,1
0.187837,-14.62972,-1.832902,1
5.571688,-18.01077,-1.363909,1
-4.37408,-8.568698,0.168694,1
3.511467,-13.45484,2.772085,1
-5.062016,-6.4343,5.088337,1
-7.65464,-13.21795,-5.899504,1
8.365308,-10.37767,-1.982454,1
-0.45344,-5.088337,6.760921,1
2.066202,-13.28854,4.797609,1
-7.038488,-11.49273,0.97029,1
7.361519,-17.41257,-5.551349,1
4.298706,-6.492924,4.134798,1
-3.110669,-10.70549,-1.665405,1
-6.471389,-5.365905,-0.535992,1
-11.23191,-7.801798,-4.045067,1
7.977671,-9.804591,-3.012564,1
2.796013,-6.537192,5.845665,1
0.062213,-12.47737,3.078367,1
-5.588438,-12.94158,1.493121,1
7.354341,-17.99163,-4.537988,1
3.53061,-7.989635,2.811567,1
1.95374,-10.55713,-1.788635,1
-6.135198,-5.166104,0.545564,1
-7.963314,-10.29512,-4.456632,1
5.509474,-10.45185,-1.434497,1
0.881755,-3.952943,6.099305,1
-0.092124,-11.98206,5.746364,1
-2.819942,-13.91666,2.487339,1
6.092126,-18.11965,-5.065606,1
-0.518046,-9.869197,4.278367,1
0.751346,-10.67917,0.065803,1
-5.736792,-6.401997,0.248854,1
-6.070591,-11.43171,-3.836891,1
3.905087,-12.33979,-1.987239,1
-6.862615,-4.475775,2.353341,1
-9.975677,-4.31067,5.860023,1
-2.806781,-14.40838,-0.689133,1
5.556134,-18.27159,-3.24706,1
-3.699304,-10.41476,3.206382,1
-0.605384,-10.23889,-0.320638,1
-7.441679,-6.083752,4.029513,1
2.847459,-13.11506,-4.930411,1
1.629512,-13.39741,-0.842274,1
-9.915856,-5.229514,2.349752,1
-11.94736,-3.449254,7.081559,1
-2.592623,-14.41197,0.441476,1
6.282356,-19.46202,-0.028714,1
-3.553342,-13.7037,1.990828,1
-2.270789,-7.960921,2.626123,1
-5.146961,-5.496314,3.007778,1
-3.416951,-11.74397,-4.569095,1
4.17069,-14.37847,-0.305085,1
-8.397612,-5.557331,2.463411,1
-7.60798,-7.396214,4.996214,1
-0.081356,-14.95275,2.34377,1
8.261221,-20.44667,0.193819,1
1.101895,-13.95733,1.708475,1
-1.533799,-11.51307,2.282753,1
-5.933003,-4.530809,0.473779,1
2.882155,-12.75255,-4.814359,1
5.881558,-14.76372,-0.79681,1
-9.68136,-5.983253,-3.287739,1
-11.6004,-1.383052,7.429714,1
-4.342973,-10.70908,0.792024,1
9.123833,-21.4014,-0.331406,1
0.539581,-16.77967,2.697908,1
-2.561517,-8.946765,1.658226,1
-9.189635,-5.149354,3.655036,1
2.364109,-13.58525,1.65703,1
7.008578,-19.71088,-3.017349,1
