ax,ay,az,label
-8.618947,-3.054438,1.526621,3
-10.27239,-5.87438,1.82692,3
2.465804,-14.92882,-3.651447,3
1.75035,-14.95514,-4.255635,3
-7.9346,-3.990032,0.381655,3
-12.38884,-1.84367,-0.64008,3
-5.459225,-9.954143,0.451047,3
9.597611,-12.97628,1.543371,3
1.308874,-11.74876,-0.235693,3
-7.194022,-5.228317,-0.622134,3
-5.426922,-9.104691,3.742374,3
3.853641,-19.48117,1.134198,3
0.117248,-13.18804,-4.290331,3
-5.395815,-6.802795,2.31027,3
-8.82114,-3.633501,2.693122,3
-4.76411,-11.2367,-1.59362,3
10.05225,-10.36092,1.221536,3
2.300699,-9.988838,1.268196,3
-10.08814,-2.654837,-0.705883,3
-3.698107,-10.92443,0.948754,3
5.502296,-19.41895,1.022932,3
-2.328217,-11.41137,-3.175276,3
-6.102894,-6.418747,0.435494,3
-11.12423,-3.499503,1.636691,3
-4.031906,-9.123833,-2.664408,3
6.989435,-9.750751,0.784846,3
-0.457029,-6.025128,0.486939,3
-10.50808,-1.316052,-2.025524,3
-5.285746,-10.77249,-0.801596,3
-11.22354,-8.428718,0.856631,3
-14.12244,-4.193422,0.189033,3
6.640083,-13.68575,0.583849,3
8.189436,-15.72204,4.234099,3
-6.760921,-5.004589,0.284746,3
-10.78565,-3.065206,-0.47019,3
-4.177869,-13.0349,-1.355534,3
5.989235,-15.93261,0.407976,3
0.4666,-11.02015,1.174876,3
-10.19821,-9.138189,0.36012,3
-8.605787,-8.344969,1.116252,3
0.325424,-11.89472,0.086142,3
8.82832,-13.97408,-0.294317,3
-2.445465,-4.677968,4.713861,3
-11.72363,-3.978068,-1.056431,3
-1.911865,-12.5348,-3.771089,3
4.84068,-15.93261,1.998007,3
-3.889533,-10.34178,-2.938386,3
-6.876972,-6.349354,2.154737,3
-10.92443,-8.043473,2.524428,3
2.317449,-11.81576,-0.752543,3
10.74976,-14.69432,2.303092,3
-3.098705,-6.686743,3.504289,3
-8.490931,-5.74756,-1.264607,3
-0.31346,-13.51945,2.136791,3
4.275974,-16.69831,-2.031507,3
-0.424726,-11.09073,-1.592423,3
-9.706486,-6.702296,2.32702,3
-12.8351,-6.136394,0.904487,3
2.610569,-11.54896,1.217947,3
5.115855,-11.88754,1.889133,3
-3.521038,-6.502496,-0.567099,3
-6.813562,-4.114459,4.199404,3
-2.036292,-14.81038,2.981457,3
7.826923,-18.74298,-0.564706,3
-1.948954,-12.44268,0.650848,3
-10.50808,-8.525627,0.251246,3
-9.208778,-5.084748,1.317249,3
-0.989432,-10.65285,0.68674,3
7.335198,-11.80379,-0.397209,3
-0.166301,-7.267003,1.643869,3
-10.30828,-2.382055,1.848456,3
-2.492125,-12.78366,2.78046,3
7.655836,-19.65823,1.592423,3
-0.884148,-12.25723,-2.388037,3
-7.294519,-8.873783,1.284946,3
-11.13739,-6.320641,1.811367,3
-2.295913,-11.05723,-3.034099,3
7.609176,-10.33221,1.704886,3
-1.412962,-7.62114,-0.011964,3
-9.239884,-1.452443,-0.80997,3
-0.415155,-11.55135,3.014956,3
6.317052,-18.52284,-1.473979,3
0.869791,-10.86581,-2.672783,3
-8.760124,-8.065009,2.269592,3
-10.73779,-6.7011,-0.227318,3
-1.95015,-9.279366,-2.079363,3
6.156733,-8.690731,1.59362,3
0.137587,-8.98505,-0.878166,3
-8.416754,-2.264807,2.994617,3
-3.120241,-9.695717,3.290131,3
6.851848,-18.29074,-2.2337,3
-1.087538,-11.38385,-0.824327,3
-9.997213,-5.735596,0.667598,3
-9.938589,-7.770692,0.095713,3
-3.586841,-10.72822,-0.902094,3
3.085545,-8.185846,-2.506482,3
1.086341,-7.834102,0.172283,3
-9.223135,-2.368894,3.384648,3
-5.225925,-8.309077,-0.552742,3
8.239684,-17.62434,-2.002793,3
-5.627919,-11.05604,-1.682154,3
-10.38485,-3.597609,-1.446461,3
-10.03071,-6.398408,1.696511,3
-2.671587,-11.6339,-2.882155,3
5.152943,-9.541381,-0.80997,3
0.430708,-8.069795,0.987039,3
-10.27119,-1.171287,0.072981,3
-1.476372,-8.71466,0.318245,3
4.34417,-16.47817,-3.12383,3
-7.257431,-9.829715,-3.702893,3
-10.73899,-3.26381,-0.452244,3
-12.34696,-4.164708,-0.599402,3
-2.556731,-12.12443,-4.275974,3
4.638487,-9.877572,-0.083749,3
-1.417747,-6.866205,1.045663,3
-11.05963,-2.347359,0.912862,3
-2.033899,-11.6004,0.870987,3
5.492724,-16.11327,-1.940579,3
-5.600402,-9.730413,-1.787439,3
-9.171689,-6.697511,0.160319,3
-11.06561,-8.169096,2.499303,3
0.407976,-13.74318,-2.269592,3
5.088337,-10.78804,-0.055035,3
-2.618945,-6.409176,2.348555,3
-8.106883,-3.273381,1.771885,3
0.975075,-13.12344,2.914458,3
5.959325,-18.81476,-0.972682,3
-0.311067,-10.17667,-2.335395,3
-11.43769,-8.603394,2.556731,3
-10.68395,-6.55753,-3.028117,3
-0.56351,-12.9356,-0.138784,3
5.502296,-9.471989,1.217947,3
