ax,ay,az,label
-8.390432,-2.807977,3.863212,2
-8.776873,-11.50708,0.958325,2
7.676175,-19.06362,-2.215754,2
8.569895,-14.83311,2.319842,2
-7.441679,-5.112266,1.701297,2
-11.91506,-3.206382,0.009571,2
3.85723,-13.22752,-1.261017,2
7.942975,-17.15295,-0.752543,2
-5.345566,-7.069595,-0.151944,2
-8.300702,-2.002793,-0.202194,2
-6.617351,-9.211171,1.144966,2
5.892326,-19.3711,-1.939383,2
4.37408,-11.71406,-1.807778,2
-7.525427,-0.830309,1.465604,2
-13.77548,-2.76371,-0.620938,2
1.694118,-13.59243,-3.626323,2
7.473982,-11.72363,-0.845863,2
-10.18625,-3.075974,0.300299,2
-11.2367,-1.752743,-1.007378,2
-4.036692,-9.603594,-1.26341,2
8.172686,-20.52563,-0.166301,2
0.166301,-12.35654,-0.141177,2
-10.48296,-1.194019,1.082752,2
-9.589237,-5.69731,1.993221,2
5.927022,-17.12902,1.771885,2
6.33739,-12.58385,-0.163908,2
-6.173482,-3.956532,2.51366,2
-10.57867,-7.198807,1.993221,2
-0.02991,-13.53141,-0.527617,2
9.760324,-21.18366,-0.431904,2
-0.155533,-10.34058,1.202393,2
-12.14358,-1.288535,2.204986,2
-4.370491,-8.2349,0.778864,2
8.650054,-19.37827,1.412962,2
4.802395,-11.98206,-0.884148,2
-8.873783,-2.970689,1.178465,2
-9.987641,-7.215557,2.597409,2
2.126023,-13.69771,-2.256432,2
9.477971,-17.95095,-1.113859,2
-1.386641,-7.475178,0.776471,2
-13.81018,0.964308,0.64008,2
-4.68754,-7.586444,-2.549552,2
7.691729,-17.87319,-0.494118,2
0.95354,-9.619147,0.642473,2
-12.52284,-1.190429,0.874577,2
-10.6696,-6.817152,1.095913,2
2.773281,-13.92025,-2.600998,2
7.363912,-16.37528,-1.830509,2
-3.829713,-5.906683,-0.95354,2
-14.12603,0.789632,-0.613759,2
-6.471389,-6.80758,-1.422533,2
6.540781,-16.75096,-1.027717,2
-0.028714,-9.300902,-2.361716,2
-12.73699,1.568495,1.596013,2
-10.79283,-5.413761,-1.40698,2
-0.162712,-11.97847,-3.482754,2
6.79442,-15.9685,-1.75035,2
-6.21775,-6.502496,0.646062,2
-11.49392,-0.422333,-0.568295,2
-6.677172,-7.2012,1.341177,2
7.513463,-18.469,-3.288934,2
2.261218,-9.919446,-1.351945,2
-13.35913,0.658026,1.026521,2
-12.52523,-4.753342,-2.130809,2
-0.614955,-12.55993,-1.161715,2
4.342973,-16.49732,-2.398805,2
-5.441279,-7.203593,-0.982254,2
-12.61496,0.179462,2.889333,2
-8.054241,-6.334998,0.702293,2
9.88834,-18.65564,-0.866202,2
2.254039,-10.94956,0.882952,2
-11.35634,-1.70369,-1.783849,2
-14.30669,-3.584448,0.784846,2
-1.537389,-12.81596,-1.84367,2
